"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - ADDED & REPLACED, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - INVENTORY, MAX, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, COLONY COLLAPSE DISORDER, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES - LOSS, DEADOUT, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN COLONIES  -  <b>CV (%)</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>VALUE</b>","HONEY, BEE COLONIES, RENOVATED - INVENTORY, MEASURED IN PCT OF COLONIES  -  <b>CV (%)</b>"
"SURVEY","2018","JUL THRU SEP","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,700","","16,500","","","","1,800","","11","","0.1","","0.1","","0.1","","89.4","","0","","88.3","","3,000","","18",""
"SURVEY","2018","JUL THRU SEP","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","15,000","","101,000","","","","14,000","","14","","14.6","","13.8","","26.5","","5.4","","5.7","","83.6","","21,000","","21",""
"SURVEY","2018","JUL THRU SEP","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","700","","11,000","","","","660","","6","","2.1","","1.5","","5.1","","10.6","","7","","21.2","","420","","4",""
"SURVEY","2018","JUL THRU SEP","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","520","","11,500","","","","990","","9","","1.4","","5","","20.6","","12.2","","0.5","","29.5","","1,200","","10",""
"SURVEY","2018","JUL THRU SEP","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","57,000","","","","3,600","","6","","8.5","","1.9","","0.4","","9.8","","0.4","","29.9","","990","","2",""
"SURVEY","2018","JUL THRU SEP","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","300","","6,000","","","","950","","16","","6.6","","23.7","","8","","51.1","","7.9","","76.8","","180","","3",""
"SURVEY","2018","JUL THRU SEP","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","300","","7,000","","","","840","","12","","1.6","","4.5","","1.5","","26.5","","7.6","","47.1","","660","","9",""
"SURVEY","2018","JUL THRU SEP","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,600","","53,000","","","","1,900","","4","","0.2","","1","","1.7","","29.9","","1.6","","31.3","","2,300","","4",""
"SURVEY","2018","JUL THRU SEP","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","60","","12,500","","","","890","","7","","1.1","","3.5","","0","","1","","0.5","","37","","170","","1",""
"SURVEY","2018","JUL THRU SEP","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","580","","7,500","","","","360","","5","","0.3","","1.1","","0.6","","6","","3.8","","11.7","","680","","9",""
"SURVEY","2018","JUL THRU SEP","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","850","","10,000","","","","2,200","","22","","10.7","","1.1","","10.1","","11.2","","10.3","","75.9","","730","","7",""
"SURVEY","2018","JUL THRU SEP","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,000","","88,000","","","","8,000","","9","","1.1","","19.5","","23.8","","13.8","","18.6","","92.4","","22,000","","25",""
"SURVEY","2018","JUL THRU SEP","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,600","","127,000","","","","29,000","","23","","6","","9.3","","28.4","","12.4","","8.1","","44.5","","6,500","","5",""
"SURVEY","2018","JUL THRU SEP","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","110","","16,500","","","","2,900","","18",""," (Z)","","7.5","","0.5","","8.6","","7.2","","25.2","","650","","4",""
"SURVEY","2018","JUL THRU SEP","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","260","","10,000","","","","540","","5","","1.2","","7.5","","1.2","","16.9","","1.1","","18.2","","410","","4",""
"SURVEY","2018","JUL THRU SEP","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","153,000","","","","18,500","","12","","18","","21.8","","6.8","","18.5","","2.7","","43.8","","22,000","","14",""
"SURVEY","2018","JUL THRU SEP","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","8,500","","54,000","","","","6,500","","12","","5.9","","4.3","","6.5","","3.2","","4","","24.1","","5,000","","9",""
"SURVEY","2018","JUL THRU SEP","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","250","","14,000","","","","320","","2","","0.2","","1","","0.1","","5.1","","0.4","","12.3","","220","","2",""
"SURVEY","2018","JUL THRU SEP","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,800","","7,000","","","","1,200","","17","","0","","0.4","","12.3","","0","","0.2","","0","","1,000","","14",""
"SURVEY","2018","JUL THRU SEP","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,600","","56,000","","","","3,900","","7","","18.6","","22.9","","24.4","","20.6","","10.2","","40.7","","3,700","","7",""
"SURVEY","2018","JUL THRU SEP","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,600","","18,000","","","","2,200","","12","","11.4","","11.4","","8.4","","17.9","","3.1","","66","","2,000","","11",""
"SURVEY","2018","JUL THRU SEP","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","23,000","","490,000","","","","59,000","","12","","9.6","","10.9","","10.4","","11.5","","1.2","","52.6","","14,500","","3",""
"SURVEY","2018","JUL THRU SEP","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,300","","16,000","","","","1,300","","8","","2.6","","11.9","","1.3","","40.9","","1.2","","58.9","","2,100","","13",""
"SURVEY","2018","JUL THRU SEP","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","20","","2,100","","","","370","","18","","0.1","","17.2","","23.5","","51.1","","23.4","","59.6","","10",""," (Z)",""
"SURVEY","2018","JUL THRU SEP","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,000","","117,000","","","","13,000","","11","","7","","10.7","","45.1","","2.8","","0.8","","57.2","","49,000","","42",""
"SURVEY","2018","JUL THRU SEP","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","480","","9,990","","","","890","","9","","1.3","","4.9","","2.9","","2.4","","0.7","","22.8","","440","","4",""
"SURVEY","2018","JUL THRU SEP","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,900","","21,000","","","","860","","4","","1.9","","1.7","","1.6","","8.1","","2.6","","23.5","","2,300","","11",""
"SURVEY","2018","JUL THRU SEP","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","670","","11,500","","","","1,400","","12","","0.7","","7.6","","32.4","","53.4","","0.9","","76.8","","1,100","","10",""
"SURVEY","2018","JUL THRU SEP","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","8,000","","197,000","","","","22,000","","11","","3.3","","45","","8.5","","32.9","","1.6","","54.7","","6,500","","3",""
"SURVEY","2018","JUL THRU SEP","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","540","","9,000","","","","900","","10","","0.7","","5.6","","13.2","","53.2","","2.1","","70.6","","1,000","","11",""
"SURVEY","2018","JUL THRU SEP","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","124,000","","","","7,500","","6","","0.4","","2.8","","6.2","","4.4","","0.9","","18.8","","9,500","","8",""
"SURVEY","2018","JUL THRU SEP","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","970","","30,000","","","","4,400","","15","","0.1","","1","","0.2","","15.5","","0.7","","34","","1,400","","5",""
"SURVEY","2018","JUL THRU SEP","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","7,000","","","","90","","1","","4.3","","0.3","","24.1","","4.9","","0","","29.3","","80","","1",""
"SURVEY","2018","JUL THRU SEP","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,000","","7,500","","","","610","","8","","2.6","","11.6","","7.7","","28.5","","1.7","","39","","990","","13",""
"SURVEY","2018","JUL THRU SEP","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,000","","84,000","","","","12,000","","14","","0.6","","9.9","","2.7","","0.6","","2.8","","7.1","","3,600","","4",""
"SURVEY","2018","JUL THRU SEP","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","170","","8,000","","","","520","","7","","0.3","","6.8","","0.3","","52.6","","2.1","","57","","1,200","","15",""
"SURVEY","2018","JUL THRU SEP","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,400","","69,000","","","","10,000","","14","","2.6","","6.1","","19.5","","32.7","","4.3","","54.4","","3,800","","6",""
"SURVEY","2018","JUL THRU SEP","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,800","","34,000","","","","3,900","","11","","2.2","","3.3","","9","","2.8","","4","","35.4","","3,900","","11",""
"SURVEY","2018","OCT THRU DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","219,640","","","","122,240","","444,730","","16","","10.4","","8.4","","13.8","","20.3","","6.5","","50.5","","154,560","","5",""
"SURVEY","2018","OCT THRU DEC","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","210","","6,500","","","","830","","13","","1.3","","3.4","","1.5","","20.5","","7.5","","20.6","","1,300","","20",""
"SURVEY","2018","OCT THRU DEC","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,200","","27,000","","","","5,000","","19","","3.1","","7.1",""," (Z)","","8.3","","3","","20.6","","330","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","110","","31,000","","","","6,000","","19","","0","","5.3","","73.5","","7.1","","2.2","","82.8","","230","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","86,000","","1,200,000","","","","170,000","","14","","9.8","","9.3","","11.6","","16.6","","7.1","","44.1","","46,000","","4",""
"SURVEY","2018","OCT THRU DEC","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","370","","30,000","","","","3,500","","12","","1","","6.1",""," (Z)","","5.9","","1.2","","73.2","","10",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","0","","3,500","","","","220","","6","","2.3","","4.2","","0.9","","3.6","","2.3","","12.5","","60","","2",""
"SURVEY","2018","OCT THRU DEC","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","53,000","","290,000","","","","43,000","","15","","9","","8","","14.1","","22.4","","6.7","","46.7","","20,000","","7",""
"SURVEY","2018","OCT THRU DEC","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,500","","164,000","","","","19,500","","12","","9.2","","5.6","","6.9","","17.4","","7.8","","41.4","","49,000","","30",""
"SURVEY","2018","OCT THRU DEC","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,700","","16,000","","","","940","","6",""," (Z)","","0.1","","0","","83.3","","0","","70.5","","6,000","","38",""
"SURVEY","2018","OCT THRU DEC","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","9,000","","159,000","","","","15,000","","9","","9.6","","7","","15.9","","47.4","","4.5","","64.9","","910","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","600","","12,000","","","","1,400","","12","","2.4","","6.9","","2.8","","13.1","","5.7","","27.2","","350","","3",""
"SURVEY","2018","OCT THRU DEC","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","40","","9,000","","","","3,300","","37","","23.8","","35.4","","64.6","","21.3","","2.3","","51.3","","1,200","","13",""
"SURVEY","2018","OCT THRU DEC","","STATE","IOWA","19","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","630","","21,000","","","","4,200","","20","","8.9","","29.4","","31.6","","27.2","","5.6","","55.1","","80",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","KANSAS","20","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","420","","5,500","","","","1,000","","18","","26","","1.6","","43.7","","31.3","","26.4","","62","","10",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","KENTUCKY","21","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","60","","7,000","","","","2,000","","29","","1.2","","5.5","","6.8","","41.9","","4.3","","57.1","","430","","6",""
"SURVEY","2018","OCT THRU DEC","","STATE","LOUISIANA","22","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","130","","52,000","","","","2,600","","5","","0.3","","1","","5.9","","6.7","","1.7","","16.6","","200",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","MAINE","23","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","210","","12,000","","","","1,400","","12",""," (Z)","","1.2","","0","","5.1","","0.1","","9.3","","880","","7",""
"SURVEY","2018","OCT THRU DEC","","STATE","MARYLAND","24","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","60","","9,000","","","","690","","8","","0.3","","4.9","","1.2","","5.3","","1.7","","16.6","","90","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","110","","4,900","","","","650","","13","","8.1","","3.4","","9.4","","9.2","","5.3","","33.2","","320","","7",""
"SURVEY","2018","OCT THRU DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,900","","77,000","","","","6,000","","8","","15.6","","2.4","","15.1","","31.2","","6.6","","52","","1,800","","2",""
"SURVEY","2018","OCT THRU DEC","","STATE","MINNESOTA","27","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,500","","86,000","","","","11,500","","13","","4.2","","3.8","","7.9","","5.2","","2.4","","28.4","","590","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","MISSISSIPPI","28","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","330","","25,000","","","","2,000","","8","","0.2","","3","","0.5","","6.7","","4.5","","26.5","","50",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","MISSOURI","29","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","170","","10,000","","","","880","","9","","1.1","","1.9","","2.3","","10","","4.1","","37","","150","","2",""
"SURVEY","2018","OCT THRU DEC","","STATE","MONTANA","30","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,100","","102,000","","","","5,500","","5","","5.6","","2.9","","17.5","","13",""," (Z)","","40.7","","500",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","NEBRASKA","31","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,000","","45,000","","","","5,000","","11","","0.7","","2.9","","0.3","","0.7","","1","","3","","840","","2",""
"SURVEY","2018","OCT THRU DEC","","STATE","NEW JERSEY","34","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","30","","15,500","","","","1,300","","8","","0.1","","5.4","","0","","3.2","","0.3","","14","","80","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","NEW MEXICO","35","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","50","","8,000","","","","3,000","","38","","3.7","","8","","0.1","","0.8","","1.2","","81.3","","0","","0",""
"SURVEY","2018","OCT THRU DEC","","STATE","NEW YORK","36","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,000","","53,000","","","","4,400","","8","","7.8","","7.8","","2.4","","4.5","","0.7","","26","","1,500","","3",""
"SURVEY","2018","OCT THRU DEC","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","250","","16,000","","","","2,700","","17","","3.8","","11.1","","2","","10.4","","5.2","","53","","300","","2",""
"SURVEY","2018","OCT THRU DEC","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","7,500","","435,000","","","","29,000","","7","","8.1","","4.3","","10.6","","9.4","","4.6","","29.5","","1,500",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","OHIO","39","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","170","","15,500","","","","2,100","","14","","0.1","","2.4","","8.1","","5.8","","9.9","","29.3","","450","","3",""
"SURVEY","2018","OCT THRU DEC","","STATE","OKLAHOMA","40","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","60","","57,000","","","","2,500","","4",""," (Z)",""," (Z)","","0","","0.4","","0.3","","13.1","","20",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","OREGON","41","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10,500","","101,000","","","","13,000","","13","","16","","0.9","","14.8","","4.6","","0.2","","44.1","","12,000","","12",""
"SURVEY","2018","OCT THRU DEC","","STATE","OTHER STATES","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","20","","8,670","","","","1,150","","13","","0.2","","1.5","","5.4","","0.2","","5.4","","12.7","","500","","6",""
"SURVEY","2018","OCT THRU DEC","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","270","","21,000","","","","4,000","","19","","6.7","","7.8","","13","","10.7","","5.4","","26.9","","1,500","","7",""
"SURVEY","2018","OCT THRU DEC","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","770","","12,500","","","","1,500","","12","","0.3","","1.3","","1.4","","16.1","","5.5","","32.2","","790","","6",""
"SURVEY","2018","OCT THRU DEC","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,000","","140,000","","","","21,000","","15","","7","","2.1","","1.6","","1.3","","2.5","","12.8","","430",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","TENNESSEE","47","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","30","","8,500","","","","1,900","","22","","1.9","","9.1","","11.4","","20.8","","5.1","","49.8","","370","","4",""
"SURVEY","2018","OCT THRU DEC","","STATE","TEXAS","48","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","11,000","","260,000","","","","17,000","","7","","5.5","","6.2","","3","","18.5","","3.7","","18.6","","70",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","UTAH","49","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","180","","27,000","","","","3,400","","13","","5.5","","6.5","","8","","9.8","","4.9","","48","","400","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","VERMONT","50","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","10","","6,500","","","","170","","3","","0","","0.8","","0","","1.3","","0.7","","6.2","","20",""," (Z)",""
"SURVEY","2018","OCT THRU DEC","","STATE","VIRGINIA","51","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","80","","7,000","","","","1,100","","16","","12.1","","5.8","","13.1","","38.4","","2.8","","57.1","","1,300","","19",""
"SURVEY","2018","OCT THRU DEC","","STATE","WASHINGTON","53","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","5,500","","81,000","","","","11,000","","14","","11.7","","3.3","","4.9","","0.5","","1.3","","34.5","","1,400","","2",""
"SURVEY","2018","OCT THRU DEC","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","50","","7,000","","","","1,200","","17","","0.6","","4.2","","7.2","","15.2","","6.8","","29.5","","70","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","WISCONSIN","55","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,600","","48,000","","","","8,500","","18","","1.5","","7.6","","24.5","","28.3","","5.2","","29.9","","530","","1",""
"SURVEY","2018","OCT THRU DEC","","STATE","WYOMING","56","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","220","","32,000","","","","2,700","","8","","2.6","","1","","6.8","","7.9","","1.4","","43.9","","0","","0",""
"SURVEY","2017","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","INVENTORY OF BEE COLONIES","INVENTORY OF BEE COLONIES: (LESS THAN 5 COLONIES)","12,500","","","","","","4,200","","12","","","","","","","","","","","","","","4,400","","13",""
"SURVEY","2017","APR THRU JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","613,360","","","","33,010","","285,590","","11","","4.6","","7","","12.3","","10.9","","4.9","","40.9","","762,550","","28",""
"SURVEY","2017","APR THRU JUN","","STATE","ALABAMA","01","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","1,200","","6,500","","","","440","","7","","0","","9.4","","4.2","","13.6","","5.3","","17.9","","500","","8",""
"SURVEY","2017","APR THRU JUN","","STATE","ARIZONA","04","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","12,500","","22,000","","","","2,600","","12","","19.7","","20.4","","12.4","","15.9","","0.7","","58.4","","3,000","","14",""
"SURVEY","2017","APR THRU JUN","","STATE","ARKANSAS","05","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","6,000","","24,000","","","","1,900","","8","","1.9","","2.7","","3.9","","9.6","","2.5","","19.4","","1,300","","5",""
"SURVEY","2017","APR THRU JUN","","STATE","CALIFORNIA","06","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","160,000","","990,000","","","","90,000","","9","","3.1","","4.8","","13","","7.7","","3.4","","38","","220,000","","22",""
"SURVEY","2017","APR THRU JUN","","STATE","COLORADO","08","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","8,000","","31,000","","","","4,500","","15","","5.3","","4.6","","3.2","","0.8","","0.1","","31.3","","7,500","","24",""
"SURVEY","2017","APR THRU JUN","","STATE","CONNECTICUT","09","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","2,200","","3,000","","","","140","","5","","0","","1.9","","0.5","","0.2","","0.7","","9.1","","350","","12",""
"SURVEY","2017","APR THRU JUN","","STATE","FLORIDA","12","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","40,000","","255,000","","","","35,000","","14","","6.1","","6.5","","9","","14.4","","18.9","","36.5","","50,000","","20",""
"SURVEY","2017","APR THRU JUN","","STATE","GEORGIA","13","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","21,000","","137,000","","","","12,500","","9","","1","","6.5","","6.6","","5.8","","2.8","","34.1","","31,000","","23",""
"SURVEY","2017","APR THRU JUN","","STATE","HAWAII","15","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,000","","12,000","","","","70","","1",""," (Z)","","0.4","","0","","3.7","","0","","88.9","","920","","8",""
"SURVEY","2017","APR THRU JUN","","STATE","IDAHO","16","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","22,000","","78,000","","","","10,500","","13","","4","","7.8","","8.3","","6.4","","4.8","","30.5","","31,000","","40",""
"SURVEY","2017","APR THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,600","","12,000","","","","1,200","","10","","0.7","","5.6","","3","","4.3","","1.5","","11.3","","1,600","","13",""
"SURVEY","2017","APR THRU JUN","","STATE","INDIANA","18","","","","","","","00000000","","HONEY","TOTAL","NOT SPECIFIED","3,000","","11,000","","","","1,200","","11","","0.1","","8.6","","43.3","","2.1","","1.2","","5.5","","510","","5",""
